epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.23544623325725852,0.9122638307500849,0.200989241587619,0.9216666666666666
1,0.14914153644922348,0.9474488064260663,0.268747896431402,0.9066666666666666
2,0.12625298856431266,0.955311686842403,0.1883524485863745,0.9283333333333333
3,0.09785336980096543,0.9648150243240186,0.19346420956232274,0.92
4,0.10444255316334351,0.9613078402534223,0.17572366610790294,0.935
5,0.08422442382117892,0.9702455028849417,0.15187738446208338,0.9466666666666667
6,0.08223962101384463,0.9712071501301052,0.23761374306535193,0.935
7,0.06709026228800873,0.9751668740807784,0.24960196395210613,0.925
8,0.06371236928898914,0.9774861409661726,0.49345258337756,0.87
9,0.0723734727161582,0.9736961194705284,0.2167365476799508,0.9433333333333334
10,0.0651918528179013,0.9761850888109515,0.21296459961061676,0.9416666666666667
11,0.0586164024343354,0.9797488403665573,0.2209480246528983,0.9366666666666666
12,0.04058111450924756,0.9853490213825093,0.2869892529753694,0.9333333333333333
13,0.054948177340202645,0.978900328091413,0.26778528589444855,0.93
14,0.03402051405359739,0.9886299355130671,0.27774411752664796,0.925
15,0.038056694796534986,0.9858581287475959,0.2454978592732611,0.935
16,0.036284815216965284,0.9865369385677113,0.31156089603589215,0.9033333333333333
17,0.05501186538366292,0.9805973526417016,0.2607755544284979,0.9316666666666666
18,0.029470318214933497,0.989535015273221,0.265700999545273,0.9233333333333333
19,0.03290446393745719,0.9880076931779613,0.23488022078527138,0.9366666666666666
20,0.021065001102102854,0.9922502545536825,0.319612147443695,0.925
21,0.03457799257160254,0.9875551532978843,0.25814831219613554,0.945
22,0.02114238378949076,0.9921371195836634,0.2876963209904109,0.92
23,0.03309893520092287,0.9876682882679036,0.26398248395804935,0.9383333333333334
24,0.01936242235003408,0.9934381717388845,0.4327539965005902,0.9066666666666666
